SITE ID II,SITEID,SITENAME,LONG,LAT,AREA,Sales Area,PRB 1,PRB 2,PRB 3,MAX PRB,EUT 1,EUT 2,EUT 3,MIN EUT
14SMG120MACRO,14SMG120,SEMESTAGNPATI_IT,110.361099,-7.06006,CENTRAL JAVA,SEMARANG INNER,  90.18 ,  72.98 ,  77.68 ,  90.18 ,  2.79 ,  8.07 ,  9.92 ,  2.79 
14PML059MACRO,14PML059,SEMINGKIR_MT,109.360001,-7.10025,CENTRAL JAVA,TEGAL,  18.38 ,  97.67 ,  48.83 ,  97.67 ,  26.03 ,  3.81 ,  29.77 ,  3.81 
14PAT050MACRO,14PAT050,SEMIREJO_TB,110.980003,-6.708483,CENTRAL JAVA,PATI,  75.05 ,  46.92 ,  62.18 ,  75.05 ,  8.76 ,  18.99 ,  13.07 ,  8.76 
14UNR038MACRO,14UNR038,SEMOWOPBL,110.553001,-7.29881,CENTRAL JAVA,SEMARANG OUTER,  69.06 ,  64.56 ,  74.24 ,  74.24 ,  7.41 ,  6.99 ,  8.39 ,  6.99 
14KBM038MACRO,14KBM038,SEMPOR_XL,109.498001,-7.5869,CENTRAL JAVA,BANJARNEGARA,  77.33 ,  63.86 ,  92.88 ,  92.88 ,  7.45 ,  16.41 ,  3.29 ,  3.29 
14BAG088MACRO,14BAG088,SEMPU_BAG_TB,109.927803,-7.00812,CENTRAL JAVA,PEKALONGAN,  75.78 ,  80.07 ,  91.23 ,  91.23 ,  6.76 ,  7.56 ,  4.21 ,  4.21 
14BYL023MACRO,14BYL023,SEMPU_MT,110.75,-7.42141,CENTRAL JAVA,SOLO INNER,  91.11 ,  98.14 ,  94.90 ,  98.14 ,  3.04 ,  2.10 ,  3.12 ,  2.10 
14BYL084MACRO,14BYL084,SENDANG_KARANG_GEDE_BYL_MT,110.653763,-7.36287,CENTRAL JAVA,SOLO INNER,  93.88 ,  70.06 ,  72.87 ,  93.88 ,  3.47 ,  9.88 ,  9.47 ,  3.47 
14RBG053MACRO,14RBG053,SENDANGASRI_LASEM_RBG_PL,111.459183,-6.68575,CENTRAL JAVA,PATI,  80.99 ,  52.61 ,  40.27 ,  80.99 ,  6.97 ,  23.36 ,  29.42 ,  6.97 
14SMG381MACRO,14SMG381,SENDANGGUO_SMG_PL,110.452972,-7.0086,CENTRAL JAVA,SEMARANG INNER,  65.99 ,  83.50 ,  76.03 ,  83.50 ,  10.83 ,  5.82 ,  8.37 ,  5.82 
14SMG119MACRO,14SMG119,SENDANGMULYO_PL,110.476097,-7.04705,CENTRAL JAVA,SEMARANG INNER,  87.65 ,  55.09 ,  88.63 ,  88.63 ,  3.60 ,  15.14 ,  3.17 ,  3.17 
14SMG468MACRO,14SMG468,SENDANGMULYO_SMG_MT,110.471901,-7.03311,CENTRAL JAVA,SEMARANG INNER,  40.50 ,  59.76 ,  24.86 ,  59.76 ,  19.84 ,  14.14 ,  30.18 ,  14.14 
